Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 07 Dec 1963",TO, ,IRE v ,5-6,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sun, 15 Dec 1963", ,FRA v ROM,6-6,2:1,2-2,Stade Toulouse, 
"Sat, 21 Dec 1963",TO, ,WAL v ,0-6,0:0,0-4,Cardiff Arms Park, 
"Sun, 04 Jan 1964",TO, ,ENG v ,0-14,0:2,0-4,"Twickenham, London", 
"Sun, 04 Jan 1964",5N, , v FRA,10-0,2:0,4-0,"Murrayfield, Edinburgh", 
"Sun, 18 Jan 1964",TO, ,SCO v NZL,0-0,0:0,2-2,"Murrayfield, Edinburgh", 
"Sun, 18 Jan 1964",5N, ,ENG v WAL,6-6,2:2,2-2,"Twickenham, London", 
"Sat, 01 Feb 1964",5N, , v SCO,11-3,2:1,4-0,Cardiff Arms Park, 
"Sat, 08 Feb 1964",TO, ,FRA v ,3-12,0:2,0-4,"Stade Colombes, Paris", 
"Sat, 08 Feb 1964",5N, ,ENG v ,5-18,1:4,0-5,"Twickenham, London", 
"Sat, 22 Feb 1964",5N, ,IRE v ,3-6,0:0,1-4,"Lansdowne Rd, Dublin", 
"Sat, 22 Feb 1964",5N, ,FRA v ,3-6,1:1,1-4,"Stade Colombes, Paris", 
"Sat, 07 Mar 1964",5N, ,IRE v ,6-15,0:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 21 Mar 1964","5N,CA", , v ENG,15-6,3:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 21 Mar 1964",5N, ,WAL v FRA,11-11,1:1,2-2,Cardiff Arms Park, 
"Sun, 29 Mar 1964", ,I['FRA'],3-12,0:1,0-4,"Stade Comunale, Parma", 
"Sat, 11 Apr 1964",5N, , v IRE,27-6,6:1,5-0,"Stade Colombes, Paris", 
"Sat, 23 May 1964",ST, , v WAL,24-3,3:0,4-0,"Kings Park Stadium, Durban", 
"Sat, 25 Jul 1964",ST, ,SAF v ,6-8,1:1,1-4,Springs, 
"Sat, 15 Aug 1964",BC,n , v AUS,14-9,1:1,4-1,"Carisbrook, Dunedin", 
"Sat, 22 Aug 1964",BC,n , v AUS,18-3,4:1,5-0,"Lancaster Park, Christchurch", 
"Sat, 29 Aug 1964",BC,n ,NZL v ,5-20,1:2,0-4,"Athletic Park, Wellington", 
"Sat, 17 Oct 1964",TO, , v FIJ,21-3,5:1,5-0,"Stade Colombes, Paris", 
"Sun, 29 Nov 1964", ,R['FRA'],6-9,1:2,1-4,Bucharest, 
"Sun, 09 Jan 1965",5N, , v SCO,16-8,4:2,5-0,"Stade Colombes, Paris", 
"Sun, 16 Jan 1965",5N, , v ENG,14-3,3:0,4-0,Cardiff Arms Park, 
"Sun, 23 Jan 1965",5N, ,IRE v FRA,3-3,1:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 06 Feb 1965",5N, ,SCO v ,12-14,0:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 13 Feb 1965",5N, , v ENG,5-0,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 27 Feb 1965",5N, ,SCO v ,6-16,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 27 Feb 1965",5N, , v FRA,9-6,1:1,4-1,"Twickenham, London", 
"Sat, 13 Mar 1965",5N, , v IRE,14-8,2:1,4-0,Cardiff Arms Park, 
"Sat, 20 Mar 1965","5N,CA", ,ENG v SCO,3-3,1:0,2-2,"Twickenham, London", 
"Sat, 27 Mar 1965",5N, , v WAL,22-13,4:3,5-0,"Stade Colombes, Paris", 
"Sat, 10 Apr 1965",TO, , v SAF,9-6,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 17 Apr 1965",TO, , v SAF,8-5,1:1,4-1,"Murrayfield, Edinburgh", 
"Sun, 18 Apr 1965", ,[ v ITA,21-0,5:0,5-0,Pau, 
"Sat, 19 Jun 1965",TO, , v SAF,18-11,2:2,4-0,"Cricket Ground, Sydney", 
"Sat, 26 Jun 1965",TO, , v SAF,12-8,0:2,4-1,"Lang Park, Brisbane", 
"Sat, 31 Jul 1965",TO,1 , v SAF,6-3,2:0,4-1,"Athletic Park, Wellington", 
"Sat, 21 Aug 1965",TO,2 , v SAF,13-0,3:0,4-0,"Carisbrook, Dunedin", 
"Sat, 04 Sep 1965",TO,3 ,NZL v ,16-19,3:4,1-5,"Lancaster Park, Christchurch", 
"Sat, 18 Sep 1965",TO,4 , v SAF,20-3,5:0,5-0,"Eden Park, Auckland", 
"Sun, 28 Nov 1965", ,[ v ROM,8-3,2:0,4-1,Lyon, 
"Wed, 08 Dec 1965", ,[ v CZR,11-0,3:0,4-0,Livorno, 
"Sun, 15 Jan 1966",5N, ,SCO v FRA,3-3,1:0,2-2,"Murrayfield, Edinburgh", 
"Sun, 15 Jan 1966",5N, ,ENG v ,6-11,1:1,1-4,"Twickenham, London", 
"Sun, 29 Jan 1966",5N, , v IRE,11-6,2:0,4-1,"Stade Colombes, Paris", 
"Sat, 05 Feb 1966",5N, , v SCO,8-3,2:0,4-1,Cardiff Arms Park, 
"Sat, 12 Feb 1966",5N, ,ENG v IRE,6-6,1:1,2-2,"Twickenham, London", 
"Sat, 26 Feb 1966",5N, ,IRE v ,3-11,0:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 26 Feb 1966",5N, , v ENG,13-0,3:0,4-0,"Stade Colombes, Paris", 
"Sat, 12 Mar 1966",5N, , v WAL,9-6,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 1966","5N,CA", , v ENG,6-3,1:0,4-1,"Murrayfield, Edinburgh", 
"Sat, 26 Mar 1966",5N, , v FRA,9-8,1:2,4-1,Cardiff Arms Park, 
"Sat, 09 Apr 1966", ,I['FRA'],0-21,0:4,0-5,Naples, 
"Sat, 28 May 1966",LT,1 ,AUS v ,8-11,1:2,1-4,"Cricket Ground, Sydney", 
"Sat, 04 Jun 1966",LT,2 ,AUS v ,0-31,0:5,0-5,"Lang Park, Brisbane", 
"Sat, 16 Jul 1966",LT,1 , v LIO,20-3,3:0,4-0,"Carisbrook, Dunedin", 
"Sat, 06 Aug 1966",LT,2 , v LIO,16-12,3:0,4-1,"Athletic Park, Wellington", 
"Sat, 27 Aug 1966",LT,3 , v LIO,19-6,3:2,4-0,"Lancaster Park, Christchurch", 
"Sat, 10 Sep 1966",LT,4 , v LIO,24-11,4:2,5-0,"Eden Park, Auckland", 
"Sun, 06 Nov 1966", ,[ v ROM,3-0,0:0,4-1,L'Aquila, 
"Sun, 27 Nov 1966", ,R['FRA'],3-9,0:2,0-4,Bucharest, 
"Sat, 03 Dec 1966",TO, ,WAL v ,11-14,2:2,1-4,Cardiff Arms Park, 
"Sat, 17 Dec 1966",TO, , v AUS,11-5,2:1,4-0,"Murrayfield, Edinburgh", 
"Sun, 07 Jan 1967",TO, ,ENG v ,11-23,1:2,0-4,"Twickenham, London", 
"Sun, 14 Jan 1967",5N, ,FRA v ,8-9,2:0,1-4,"Stade Colombes, Paris", 
"Sun, 21 Jan 1967",TO, , v AUS,15-8,2:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 04 Feb 1967",5N, , v WAL,11-5,2:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 11 Feb 1967",TO, , v AUS,20-14,1:2,4-0,"Stade Colombes, Paris", 
"Sat, 11 Feb 1967",5N, ,IRE v ,3-8,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 25 Feb 1967",5N, ,SCO v ,3-5,0:1,1-4,"Murrayfield, Edinburgh", 
"Sat, 25 Feb 1967",5N, ,ENG v ,12-16,0:2,1-4,"Twickenham, London", 
"Sat, 11 Mar 1967",5N, ,WAL v ,0-3,0:1,1-4,Cardiff Arms Park, 
"Sat, 18 Mar 1967","5N,CA", , v SCO,27-14,4:2,5-0,"Twickenham, London", 
"Sun, 26 Mar 1967", ,[ v ITA,60-13,11:3,5-0,Toulon, 
"Sat, 01 Apr 1967",5N, , v WAL,20-14,3:1,4-0,"Stade Colombes, Paris", 
"Sat, 15 Apr 1967",5N, ,IRE v ,6-11,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 15 Apr 1967",5N, , v ENG,34-21,5:3,5-0,Cardiff Arms Park, 
"Sun, 07 May 1967", ,[ v POR,6-3,0:0,4-1,Genoa, 
"Sat, 13 May 1967",ST, ,AUS v ,5-11,1:2,0-4,"Cricket Ground, Sydney", 
"Sun, 14 May 1967", ,[ v ITA,24-3,5:0,5-0,Bucharest, 
"Sat, 15 Jul 1967",ST, , v FRA,26-3,5:1,5-0,"Kings Park Stadium, Durban", 
"Sat, 22 Jul 1967",ST, , v FRA,16-3,3:0,4-0,"Vodacom Park, Bloemfontein", 
"Sat, 29 Jul 1967",ST, ,SAF v ,14-19,2:2,1-4,"Ellis Park, Johannesburg", 
"Sat, 12 Aug 1967", ,SAF v FRA,6-6,0:1,2-2,"Newlands, Cape Town", 
"Sat, 19 Aug 1967",BC,n , v AUS,29-9,4:2,5-0,"Athletic Park, Wellington", 
"Sat, 04 Nov 1967",TO, ,ENG v ,11-23,2:5,0-5,"Twickenham, London", 
"Sat, 11 Nov 1967",TO, ,WAL v ,6-13,0:2,0-4,Cardiff Arms Park, 
"Sat, 25 Nov 1967",TO, ,FRA v ,15-21,1:4,0-5,"Stade Colombes, Paris", 
"Sat, 02 Dec 1967",TO, ,SCO v ,3-14,0:2,0-4,"Murrayfield, Edinburgh", 
"Sun, 10 Dec 1967", ,[ v ROM,11-3,1:0,4-0,Nantes, 
"Sun, 13 Jan 1968",5N, ,SCO v ,6-8,1:2,1-4,"Murrayfield, Edinburgh", 
"Sun, 20 Jan 1968",5N, ,ENG v WAL,11-11,2:2,2-2,"Twickenham, London", 
"Sun, 27 Jan 1968",5N, , v IRE,16-6,2:0,4-0,"Stade Colombes, Paris", 
"Sat, 03 Feb 1968",5N, , v SCO,5-0,1:0,4-1,Cardiff Arms Park, 
"Sat, 10 Feb 1968",5N, ,ENG v IRE,9-9,0:0,2-2,"Twickenham, London", 
"Sat, 24 Feb 1968",5N, , v SCO,14-6,3:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 24 Feb 1968",5N, , v ENG,14-9,1:0,4-1,"Stade Colombes, Paris", 
"Sat, 09 Mar 1968",5N, , v WAL,9-6,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 16 Mar 1968","5N,CA", ,SCO v ,6-8,0:1,1-4,"Murrayfield, Edinburgh", 
"Sat, 23 Mar 1968",5N, ,WAL v ,9-14,1:2,1-4,Cardiff Arms Park, 
"Sun, 05 May 1968", ,C['FRA'],6-19,0:5,0-5,Prague, 
"Sun, 12 May 1968", ,P['ITA'],3-17,0:4,0-5,Lisbon, 
"Sat, 08 Jun 1968",LT,1 , v LIO,25-20,3:1,4-1,"Loftus Versfeld, Pretoria", 
"Sat, 15 Jun 1968",BC,n ,AUS v ,11-27,1:6,0-5,"Cricket Ground, Sydney", 
"Sat, 22 Jun 1968",LT,2 ,SAF v LIO,6-6,0:0,2-2,"Boet Erasmus, Pt Elizabeth", 
"Sat, 22 Jun 1968",BC,n ,AUS v ,18-19,1:3,1-4,"Ballymore, Brisbane", 
"Sat, 13 Jul 1968",ST, , v FRA,12-9,1:0,4-1,"Lancaster Park, Christchurch", 
"Sat, 13 Jul 1968",LT,3 , v LIO,11-6,1:0,4-1,"Newlands, Cape Town", 
"Sat, 27 Jul 1968",ST, , v FRA,9-3,0:0,4-0,"Athletic Park, Wellington", 
"Sat, 27 Jul 1968",LT,4 , v LIO,19-6,4:0,5-0,"Ellis Park, Johannesburg", 
"Sat, 10 Aug 1968",ST, , v FRA,19-12,2:3,4-0,"Eden Park, Auckland", 
"Sat, 17 Aug 1968",TO, , v FRA,11-10,1:2,4-1,"Cricket Ground, Sydney", 
"Sat, 26 Oct 1968",TO, , v AUS,10-3,2:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 02 Nov 1968",TO, , v AUS,9-3,1:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 09 Nov 1968",TO, ,FRA v ,9-12,3:0,1-4,"Stade Municipal, Bordeaux", 
"Sat, 16 Nov 1968",TO, ,FRA v ,11-16,1:3,1-4,"Stade Colombes, Paris", 
"Sun, 01 Dec 1968", ,[ v FRA,15-14,0:1,4-1,Bucharest, 
"Sun, 11 Jan 1969",5N, ,FRA v ,3-6,0:1,1-4,"Stade Colombes, Paris", 
"Sun, 25 Jan 1969",5N, , v FRA,17-9,1:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 01 Feb 1969",5N, ,SCO v ,3-17,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 08 Feb 1969",5N, , v ENG,17-15,2:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 22 Feb 1969",5N, ,SCO v ,0-16,0:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 22 Feb 1969",5N, , v FRA,22-8,3:1,4-0,"Twickenham, London", 
"Sat, 08 Mar 1969",5N, , v IRE,24-11,4:1,5-0,Cardiff Arms Park, 
"Sat, 15 Mar 1969","5N,CA", , v SCO,8-3,2:0,4-1,"Twickenham, London", 
"Sat, 22 Mar 1969",5N, ,FRA v WAL,8-8,1:2,2-2,"Stade Colombes, Paris", 
"Sat, 12 Apr 1969",5N, , v ENG,30-9,5:0,5-0,Cardiff Arms Park, 
"Sat, 31 May 1969",ST,1 , v WAL,19-0,4:0,5-0,"Lancaster Park, Christchurch", 
"Sat, 14 Jun 1969",ST,2 , v WAL,33-12,3:2,4-0,"Eden Park, Auckland", 
"Sat, 21 Jun 1969",ST, ,AUS v ,16-19,2:3,1-4,"Cricket Ground, Sydney", 
"Sat, 02 Aug 1969",TO, , v AUS,30-11,5:1,5-0,"Ellis Park, Johannesburg", 
"Sat, 16 Aug 1969",TO, , v AUS,16-9,3:0,4-0,"Kings Park Stadium, Durban", 
"Sat, 06 Sep 1969",TO, , v AUS,11-3,2:0,4-0,"Newlands, Cape Town", 
"Sat, 20 Sep 1969",TO, , v AUS,19-8,3:1,4-0,"Vodacom Park, Bloemfontein", 
"Sat, 06 Dec 1969",TO, , v SAF,6-3,1:0,4-1,"Murrayfield, Edinburgh", 
"Sun, 14 Dec 1969", ,[ v ROM,14-9,1:0,4-1,Tarbes, 
"Sat, 20 Dec 1969",TO, , v SAF,11-8,2:1,4-1,"Twickenham, London", 
"Sat, 10 Jan 1970",TO, ,IRE v SAF,8-8,1:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 10 Jan 1970",5N, ,SCO v ,9-11,1:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 24 Jan 1970",TO, ,WAL v SAF,6-6,1:1,2-2,Cardiff Arms Park, 
"Sat, 24 Jan 1970",5N, , v IRE,8-0,1:0,4-0,"Stade Colombes, Paris", 
"Sat, 07 Feb 1970",5N, , v SCO,18-9,4:1,5-0,Cardiff Arms Park, 
"Sat, 14 Feb 1970",5N, , v IRE,9-3,1:0,4-0,"Twickenham, London", 
"Sat, 28 Feb 1970",5N, , v SCO,16-11,4:2,5-1,"Lansdowne Rd, Dublin", 
"Sat, 28 Feb 1970",5N, ,ENG v ,13-17,2:4,1-5,"Twickenham, London", 
"Sat, 14 Mar 1970",5N, , v WAL,14-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 21 Mar 1970","5N,CA", , v ENG,14-5,2:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 04 Apr 1970",5N, , v FRA,11-6,1:2,4-1,Cardiff Arms Park, 
"Sat, 18 Apr 1970",5N, , v ENG,35-13,6:2,5-0,"Stade Colombes, Paris", 
"Sat, 06 Jun 1970",ST, , v SCO,23-3,6:0,5-0,"Cricket Ground, Sydney", 
"Sat, 25 Jul 1970",TO,1 , v NZL,17-6,2:1,4-0,"Loftus Versfeld, Pretoria", 
"Sat, 08 Aug 1970",TO,2 ,SAF v ,8-9,1:2,1-4,"Newlands, Cape Town", 
"Sat, 29 Aug 1970",TO,3 , v NZL,14-3,2:0,4-0,"Boet Erasmus, Pt Elizabeth", 
"Sat, 12 Sep 1970",TO,4 , v NZL,20-17,2:1,4-1,"Ellis Park, Johannesburg", 
"Sun, 13 Sep 1970",TO,1 , v IRE,8-3,2:1,4-1,"FC Oeste, Buenos Aires", 
"Sun, 20 Sep 1970",TO,2 , v IRE,6-3,0:0,4-1,"FC Oeste, Buenos Aires", 
"Sun, 29 Nov 1970", ,R['FRA'],3-14,0:1,0-4,Bucharest, 
"Sat, 16 Jan 1971",5N, , v ENG,22-6,3:1,4-0,Cardiff Arms Park, 
"Sat, 16 Jan 1971",5N, , v SCO,13-8,2:1,4-1,"Stade Colombes, Paris", 
"Sat, 30 Jan 1971",5N, ,IRE v FRA,9-9,1:0,2-2,"Lansdowne Rd, Dublin", 
"Sat, 06 Feb 1971",5N, ,SCO v ,18-19,2:4,1-5,"Murrayfield, Edinburgh", 
"Sat, 13 Feb 1971",5N, ,IRE v ,6-9,2:0,1-4,"Lansdowne Rd, Dublin", 
"Sat, 27 Feb 1971",5N, ,SCO v ,5-17,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 27 Feb 1971",5N, ,ENG v FRA,14-14,1:2,2-2,"Twickenham, London", 
"Sat, 13 Mar 1971",5N, , v IRE,23-9,4:0,5-0,Cardiff Arms Park, 
"Sat, 20 Mar 1971","5N,CA", ,ENG v ,15-16,2:3,1-4,"Twickenham, London", 
"Sat, 27 Mar 1971",5N, ,FRA v ,5-9,1:2,1-4,"Stade Colombes, Paris", 
"Sat, 27 Mar 1971", ,[ v ENG,26-6,5:0,5-0,"Murrayfield, Edinburgh", 
"Sat, 12 Jun 1971",ST, , v FRA,22-9,2:1,4-0,"Vodacom Park, Bloemfontein", 
"Sat, 19 Jun 1971",ST, ,SAF v FRA,8-8,1:1,2-2,"Kings Park Stadium, Durban", 
"Sat, 26 Jun 1971",LT,1 ,NZL v ,3-9,0:1,0-4,"Carisbrook, Dunedin", 
"Sat, 10 Jul 1971",LT,2 , v LIO,22-12,5:2,5-0,"Lancaster Park, Christchurch", 
"Sat, 17 Jul 1971",TO, ,AUS v ,11-19,1:3,0-4,"Cricket Ground, Sydney", 
"Sat, 31 Jul 1971",TO, ,AUS v ,6-14,0:3,0-4,"Exhibition Ground, Brisbane", 
"Sat, 31 Jul 1971",LT,3 ,NZL v ,3-13,1:2,0-4,"Athletic Park, Wellington", 
"Sat, 07 Aug 1971",TO, ,AUS v ,6-18,1:3,0-4,"Cricket Ground, Sydney", 
"Sat, 14 Aug 1971",LT,4 ,NZL v LIO,14-14,2:1,2-2,"Eden Park, Auckland", 
"Sat, 20 Nov 1971",TO, ,FRA v ,11-13,2:2,1-4,Stade Toulouse, 
"Sat, 27 Nov 1971",TO, , v AUS,18-9,1:0,4-0,"Stade Colombes, Paris", 
"Sat, 11 Dec 1971", ,[ v ROM,31-12,4:0,5-0,"Parc Sauclieres, Beziers", 
"Sat, 15 Jan 1972",5N, , v FRA,20-9,3:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 15 Jan 1972",5N, ,ENG v ,3-12,0:1,0-4,"Twickenham, London", 
"Sat, 29 Jan 1972",5N, ,FRA v ,9-14,1:2,1-4,"Stade Colombes, Paris", 
"Sat, 05 Feb 1972",5N, , v SCO,35-12,5:1,5-0,Cardiff Arms Park, 
"Sat, 12 Feb 1972",5N, ,ENG v ,12-16,1:2,1-4,"Twickenham, London", 
"Sat, 26 Feb 1972",5N, , v ENG,37-12,6:1,5-0,"Stade Colombes, Paris", 
"Sat, 18 Mar 1972","5N,CA", , v ENG,23-9,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 25 Mar 1972",5N, , v FRA,20-6,2:0,4-0,Cardiff Arms Park, 
"Sat, 29 Apr 1972", ,[ v FRA,24-14,3:3,4-0,"Lansdowne Rd, Dublin", 
"Sat, 03 Jun 1972",ST, ,SAF v ,9-18,0:1,0-4,"Ellis Park, Johannesburg", 
"Sat, 17 Jun 1972",ST, ,AUS v FRA,14-14,2:3,2-2,"Cricket Ground, Sydney", 
"Sun, 25 Jun 1972",ST, ,AUS v ,15-16,0:3,1-4,"Ballymore, Brisbane", 
"Sat, 19 Aug 1972",BC,n , v AUS,29-6,5:0,5-0,"Athletic Park, Wellington", 
"Sat, 02 Sep 1972",BC,n , v AUS,30-17,5:3,5-0,"Lancaster Park, Christchurch", 
"Sat, 16 Sep 1972",BC,n , v AUS,38-3,6:0,5-0,"Eden Park, Auckland", 
"Tue, 19 Sep 1972",TO, ,FIJ v ,19-21,2:4,1-5,"Buckhurst Park, Suva", 
"Sun, 26 Nov 1972", ,R['FRA'],6-15,0:1,0-4,Constanta, 
"Sat, 02 Dec 1972",TO, ,WAL v ,16-19,1:1,1-4,Cardiff Arms Park, 
"Sat, 16 Dec 1972",TO, ,SCO v ,9-14,0:3,1-4,"Murrayfield, Edinburgh", 
"Sat, 06 Jan 1973",TO, ,ENG v ,0-9,0:1,0-4,"Twickenham, London", 
"Sat, 13 Jan 1973",5N, , v SCO,16-13,1:1,4-1,"Parc des Princes, Paris", 
"Sat, 20 Jan 1973",TO, ,IRE v NZL,10-10,1:2,2-2,"Lansdowne Rd, Dublin", 
"Sat, 20 Jan 1973",5N, , v ENG,25-9,5:0,5-0,Cardiff Arms Park, 
"Sat, 03 Feb 1973",5N, , v WAL,10-9,2:0,4-1,"Murrayfield, Edinburgh", 
"Sat, 10 Feb 1973",TO, , v NZL,13-6,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 10 Feb 1973",5N, , v ENG,18-9,2:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 24 Feb 1973",5N, , v IRE,19-14,1:2,4-1,"Murrayfield, Edinburgh", 
"Sat, 24 Feb 1973",5N, , v FRA,14-6,2:1,4-0,"Twickenham, London", 
"Sat, 10 Mar 1973",5N, , v IRE,16-12,2:1,4-1,Cardiff Arms Park, 
"Sat, 17 Mar 1973","5N,CA", , v SCO,20-13,4:2,5-0,"Twickenham, London", 
"Sat, 24 Mar 1973",5N, , v WAL,12-3,0:0,4-0,"Parc des Princes, Paris", 
"Sat, 14 Apr 1973",5N, , v FRA,6-4,0:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 23 Jun 1973",TO, , v TON,30-12,5:0,5-0,"Cricket Ground, Sydney", 
"Sat, 30 Jun 1973",TO, ,AUS v ,11-16,2:0,1-4,"Ballymore, Brisbane", 
"Sat, 08 Sep 1973",TO,1 , v ROM,15-9,1:0,4-1,"FC Oeste, Buenos Aires", 
"Sat, 15 Sep 1973",ST, ,NZL v ,10-16,2:3,1-4,"Eden Park, Auckland", 
"Sat, 15 Sep 1973",TO,2 , v ROM,24-3,5:0,5-0,"FC Oeste, Buenos Aires", 
"Sat, 27 Oct 1973",TO, , v JAP,30-18,6:3,5-0,"Stade Municipal, Bordeaux", 
"Sat, 10 Nov 1973",TO, , v AUS,24-0,3:0,4-0,Cardiff Arms Park, 
"Sat, 10 Nov 1973",AI, , v ARG,21-8,4:2,5-0,"Lansdowne Rd, Dublin", 
"Sun, 11 Nov 1973", ,[ v ROM,7-6,1:0,4-1,Valence d'Agen, 
"Sat, 17 Nov 1973",TO, , v AUS,20-3,3:0,4-0,"Twickenham, London", 
"Sat, 19 Jan 1974",5N, , v SCO,6-0,1:0,4-1,Cardiff Arms Park, 
"Sat, 19 Jan 1974",5N, , v IRE,9-6,1:0,4-1,"Parc des Princes, Paris", 
"Sat, 02 Feb 1974","5N,CA", , v ENG,16-14,2:2,4-1,"Murrayfield, Edinburgh", 
"Sat, 02 Feb 1974",5N, ,IRE v WAL,9-9,0:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 16 Feb 1974",5N, ,WAL v FRA,16-16,1:1,2-2,Cardiff Arms Park, 
"Sat, 16 Feb 1974",5N, ,ENG v ,21-26,1:4,1-5,"Twickenham, London", 
"Sat, 02 Mar 1974",5N, , v SCO,9-6,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 02 Mar 1974",5N, ,FRA v ENG,12-12,1:1,2-2,"Parc des Princes, Paris", 
"Sat, 16 Mar 1974",5N, , v FRA,19-6,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 16 Mar 1974",5N, , v WAL,16-12,2:1,4-1,"Twickenham, London", 
"Sat, 25 May 1974",BC,n ,AUS v ,6-11,1:2,1-4,"Cricket Ground, Sydney", 
"Sat, 01 Jun 1974",BC,n ,AUS v NZL,16-16,2:2,2-2,"Ballymore, Brisbane", 
"Sat, 08 Jun 1974",LT,1 ,SAF v ,3-12,0:0,0-4,"Newlands, Cape Town", 
"Sat, 08 Jun 1974",BC,n ,AUS v ,6-16,0:3,0-4,"Cricket Ground, Sydney", 
"Thu, 20 Jun 1974",ST, ,ARG v ,15-20,1:3,1-4,"FC Oeste, Buenos Aires", 
"Sat, 22 Jun 1974",LT,2 ,SAF v ,9-28,0:5,0-5,"Loftus Versfeld, Pretoria", 
"Sat, 29 Jun 1974",ST, ,ARG v ,27-31,1:4,1-5,"FC Oeste, Buenos Aires", 
"Sat, 13 Jul 1974",LT,3 ,SAF v ,9-26,0:3,0-4,"Boet Erasmus, Pt Elizabeth", 
"Sat, 27 Jul 1974",LT,4 ,SAF v LIO,13-13,1:2,2-2,"Ellis Park, Johannesburg", 
"Sun, 13 Oct 1974", ,[ v FRA,15-10,1:1,4-1,Bucharest, 
"Sat, 23 Nov 1974",TO, ,IRE v ,6-15,0:1,0-4,"Lansdowne Rd, Dublin", 
"Sat, 23 Nov 1974",TO, ,FRA v ,4-13,1:1,0-4,Stade Toulouse, 
"Sat, 30 Nov 1974",TO, ,FRA v ,8-10,2:1,1-4,"Parc des Princes, Paris", 
"Sat, 18 Jan 1975",5N, , v ENG,12-9,2:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 18 Jan 1975",5N, ,FRA v ,10-25,1:5,0-5,"Parc des Princes, Paris", 
"Sat, 01 Feb 1975",5N, , v IRE,20-13,2:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 01 Feb 1975",5N, ,ENG v ,20-27,2:4,0-5,"Twickenham, London", 
"Sat, 15 Feb 1975",5N, , v ENG,20-4,3:1,4-0,Cardiff Arms Park, 
"Sat, 15 Feb 1975",5N, , v SCO,10-9,1:0,4-1,"Parc des Princes, Paris", 
"Sat, 01 Mar 1975",5N, , v FRA,25-6,3:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 01 Mar 1975",5N, , v WAL,12-10,0:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 15 Mar 1975","5N,CA", , v SCO,7-6,1:0,4-1,"Twickenham, London", 
"Sat, 15 Mar 1975",5N, , v IRE,32-4,5:1,5-0,Cardiff Arms Park, 
"Sat, 24 May 1975",ST, , v ENG,16-9,1:1,4-0,"Cricket Ground, Sydney", 
"Sat, 31 May 1975",ST, , v ENG,30-21,5:2,5-0,"Ballymore, Brisbane", 
"Sat, 14 Jun 1975",ST, , v SCO,24-0,4:0,5-0,"Eden Park, Auckland", 
"Sat, 21 Jun 1975",ST, , v FRA,38-25,5:4,5-1,"Vodacom Park, Bloemfontein", 
"Sat, 28 Jun 1975",ST, , v FRA,33-18,2:1,4-0,"Loftus Versfeld, Pretoria", 
"Sat, 02 Aug 1975",TO, , v JAP,37-7,6:1,5-0,"Cricket Ground, Sydney", 
"Sun, 17 Aug 1975",TO, , v JAP,50-25,8:5,5-1,"Ballymore, Brisbane", 
"Sun, 19 Oct 1975",TO, , v ARG,29-6,6:0,5-0,Lyon, 
"Sat, 25 Oct 1975",TO, , v ARG,36-21,5:1,5-0,"Parc des Princes, Paris", 
"Sun, 23 Nov 1975", ,[ v ROM,36-12,6:0,5-0,"Stade Municipal, Bordeaux", 
