Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Germany,won,96,0,15,9,1,0,0,v Luxembourg,Heidelburg,27 Nov 2004
Uruguay,won,102,6,16,11,0,0,0,v Paraguay,Cataratas,14 May 2011
Mexico,won,96,0,-,-,-,-,-,v Turk & Caic,Mexico City,28 Jun 2014
Argentina,won,98,3,18,13,0,0,0,v Paraguay,San Pablo,14 Oct 1973
Brazil,won,95,0,-,-,-,-,-,v Costa Rica,Caracas,16 Oct 2006
Georgia,won,98,3,16,9,0,0,0,v Czech Rep,Tbilisi,7 Apr 2007
New Zealand,won,108,13,16,14,0,0,0,v Portugal,Lyon,15 Sep 2007
Namibia,won,95,0,15,10,0,0,0,v Senegal,Windhoek,8 Jul 2017
Argentina,won,103,9,20,10,1,0,0,v Brazil,Montevideo,8 Oct 1989
Denmark,won,94,0,-,-,-,-,-,v Finland,Toijala,29 Sep 1990
Argentina,won,103,9,16,10,1,0,0,v Paraguay,Asuncion,24 Sep 1995
Arabian Gulf,won,97,3,-,-,-,-,-,v India,Manama,27 Apr 2001
Papua New Guinea,won,97,3,-,-,-,-,-,v Vanuatu,Port Moresby,20 Aug 2005
Japan,won,101,7,15,13,0,0,0,v Kazakhstan,Tokyo,15 May 2010
India,won,94,0,-,-,-,-,-,v China,Delhi,2 Jun 2010
Argentina,won,93,0,15,12,3,0,0,v Paraguay,Asuncion,25 Sep 1975
Kenya,won,96,3,-,-,-,-,-,v Nigeria,Nairobi,10 Aug 1987
Denmark,won,99,6,-,-,-,-,-,v Denmark B,Aalborg,27 Sep 1992
Hong Kong,won,93,0,14,10,1,0,0,v Thailand,Kuala Lumpur,25 Oct 1994
Portugal,won,93,0,15,9,0,0,0,v Czech Rep,Caldas da Rainha,23 Mar 2019
Korea,won,92,0,-,-,-,-,-,v Thailand,Fukuoka,25 Oct 1984
Romania,won,92,0,13,12,1,0,0,v Portugal,Bucharest,13 Apr 1996
Chile,won,95,3,15,10,0,0,0,v Venezuela,Santiago,28 Apr 2004
Scotland,won,100,8,15,11,1,0,0,v Japan,Perth,13 Nov 2004
South Africa,won,105,13,15,12,2,0,0,v Namibia,Cape Town,15 Aug 2007
India,won,92,0,-,-,-,-,-,v Pakistan,Bangkok,14 Jun 2008
Wales,won,102,11,16,11,0,0,0,v Portugal,Lisbon,18 May 1994
England,won,101,10,13,12,4,0,0,v Tonga,Twickenham,15 Oct 1999
Sweden,won,91,0,-,-,-,-,-,v Norway,Vanersborg,29 Apr 2000
New Zealand,won,91,0,15,8,0,0,0,v Fiji,North Shore City,10 Jun 2005
United States of America,won,91,0,13,13,0,0,0,v Barbados,Santa Clara,1 Jul 2006
Cyprus,won,94,3,14,12,0,0,0,v Bulgaria,Pernik,28 Apr 2012
Belgium,won,94,3,14,12,0,0,0,v UAE,Dubai,8 Dec 2012
Uruguay,won,93,3,15,9,0,0,0,v Paraguay,Montevideo,10 Oct 1998
Czechia,won,95,5,-,-,-,-,-,v Croatia,Brno,7 Apr 2002
Monaco,won,90,0,-,-,-,-,-,v Finland,Monte Carlo,19 Oct 2002
Tonga,won,90,0,14,10,0,0,0,v Cook Islands,-,8 Jul 2006
Reunion,won,90,0,-,-,-,-,-,v Mayotte,Curepipe,5 Jul 2008
Japan,won,93,3,15,9,0,0,0,v UAE,Dubai,10 May 2013
Kenya,won,100,10,15,11,1,0,0,v Tunisia,Nairobi,8 Jul 2017
Romania,won,89,0,-,-,-,-,-,v Morocco,Bucharest,17 Nov 1976
Scotland,won,89,0,13,9,2,0,0,v Cote d'Iv,Rustenberg,26 May 1995
Latvia,won,89,0,15,7,0,0,0,v Bulgaria,Riga,10 May 1997
Japan,won,94,5,14,12,0,0,0,v Hong Kong,Tokyo,22 May 2010
Malaysia,won,89,0,14,8,1,0,0,v China,Kuala Lumpur,31 May 2012
Japan,won,99,10,15,12,0,0,0,v Philippines,Silangan,3 May 2014
Zambia,won,92,3,15,7,1,0,0,v Rwanda,Lusaka,29 Apr 2017
